1,97.149,125.237,8.332
2,95.578,126.095,8.337
3,96.998,128.623,8.336
4,98.580,127.743,8.368
5,86.419,131.187,8.502
6,85.536,131.568,8.518
9,87.318,131.942,8.506
12,87.694,132.800,8.541
13,88.256,135.917,8.526
14,87.274,136.348,8.540
15,87.636,137.258,8.529
16,88.599,136.833,8.514
17,89.642,140.220,8.583
18,88.689,140.641,8.568
20,90.060,141.063,8.591
21,90.436,144.510,8.621
22,91.361,144.093,8.609
23,91.793,144.958,8.627
24,90.781,145.393,8.638
25,108.113,143.805,8.439
26,106.417,140.291,8.405
27,105.891,139.907,8.420
28,105.316,139.168,8.445
31,95.915,111.203,8.385
32,97.813,115.532,8.436
33,104.305,117.196,8.362
34,108.273,116.072,8.365
35,95.075,124.480,8.316
36,94.194,121.321,8.348
37,89.031,122.750,8.066
38,81.362,127.154,7.550
39,84.996,122.341,7.809
40,86.147,114.194,8.292
41,79.430,111.405,7.987
42,78.931,108.497,8.038
43,78.755,108.024,8.001
44,78.931,108.492,8.001
45,78.468,108.669,8.001
46,93.945,112.192,8.536
47,95.242,111.620,8.539
48,96.461,118.409,8.356
49,97.929,117.874,8.390
50,102.304,97.575,8.435
51,102.754,97.336,8.481
52,102.038,97.174,8.449
53,102.544,96.915,8.506
54,105.141,107.471,8.480
56,104.667,97.834,9.887
57,98.688,83.848,10.071
58,84.087,92.450,9.733
59,92.661,101.673,9.718
